% ****************************************************************************
% NOTICE
%
% This is the copyright work of The MITRE Corporation, and was produced
% for the U. S. Government under Contract Number DTFAWA-10-C-00080, and
% is subject to Federal Aviation Administration Acquisition Management
% System Clause 3.5-13, Rights In Data-General, Alt. III and Alt. IV
% (Oct. 1996).  No other use other than that granted to the U. S.
% Government, or to those acting on behalf of the U. S. Government,
% under that Clause is authorized without the express written
% permission of The MITRE Corporation. For further information, please
% contact The MITRE Corporation, Contracts Office, 7515 Colshire Drive,
% McLean, VA  22102-7539, (703) 983-6000. 
%
% Copyright 2020 The MITRE Corporation. All Rights Reserved.
% ****************************************************************************

ANCHR	40.47	-103.85	50000	17000	280	280
BRRUK	41.059	-102.26	50000	0	280	280
CABOS	33.0837	-111.5652	12000	10000	250	250
CHIPZ	35.9805	-114.6083	8000	8000	170	170
CTFSH	41.182	-101.86	50000	0	280	280
DORSL	40.788	-103.11	50000	0	280	280
FINAP	33.40235	-111.746314	6000	5000	210	210
FUZZY	36.2005	-115.9002	16000	16000	250	250
GAPPY	40.2985	-104.6359	50000	0	210	210
GIRTH	40.2485	-104.6365	50000	0	210	210
GOLFN	40.197	-104.6372	9000	9000	210	210
GRIFS	40.0994	-104.6384	9000	9000	210	210
GWENS	40.1613	-104.6376	9000	9000	210	210
HALTR	40.0559	-104.6389	9000	9000	170	170
HHOLT	40.0025	-104.6396	9000	8000	170	170
HIGUN	40.353	-104.37	14000	14000	210	210
IPUMY	36.031	-115.3753	11000	11000	230	230
IRINE	39.948569	-104.640281	50000	7000	170	170
ITEMM	32.586481	-110.589769	24000	24000	280	280
JAGAL	33.440483	-111.812886	50000	4000	170	170
KIMME	35.9952	-114.8305	8000	8000	210	210
KIPPR	40.35	-104.56	12000	12000	210	210
KOOLY	32.873828	-111.128936	50000	15000	270	270
LANDR	40.358	-104	19000	17000	250	250
LARRE	36.073525	-114.867469	8000	6500	170	170
LIBIE	40.601	-103.67	50000	0	280	280
MYCAL	36.4601	-116.2642	50000	21000	280	280
NIPZO	36.0185	-115.2028	9000	9000	230	230
POKRR	36.0626	-114.5981	8000	8000	170	170
PRINO	36.0732	-114.7274	8000	8000	170	170
PUKRE	33.228	-111.6439	9000	8000	210	210
RECOK	32.768969	-110.927283	24000	17000	280	280
RELIN	36.073669	-115.018581	50000	3800	170	170
SHAND	36.073622	-114.946622	50000	4900	170	170
SQUEZ	32.9987	-111.3995	15000	12000	250	250
SS0	32.30698	-109.25118	50000	0	1000	0
SUNST	36.0102	-115.0808	8000	8000	210	210
TACUS	37.0877	-116.9033	50000	0	280	280
TRAGR	36.1159	-115.6372	50000	0	250	250
TUMBE	36.8055	-116.6675	50000	0	280	280
YOKXO	33.4406	-111.8805	50000	3000	170	170
